original,original_emotion,paraphrased,target_emotion,category,subject,id,transformation_type,length_original,length_paraphrased
This retail service is absolutely terrible!,angry,I hope retail service improves soon.,neutral,service,retail,296,angry_to_neutral,6,6
The incompetence of the schedule is infuriating!,angry,I believe the schedule has potential for growth.,neutral,work,the schedule,114,angry_to_neutral,7,8
I'm outraged by my neighbor disrespectful attitude!,angry,I admire my neighbor when they show respect.,neutral,personal,my neighbor,796,angry_to_neutral,7,8
The way my child treats me is infuriating!,angry,I feel loved when my child treats me kindly.,love,personal,my child,825,angry_to_love,8,9
I'm outraged by my ex disrespectful attitude!,angry,I admire my ex when they show respect.,neutral,personal,my ex,803,angry_to_neutral,7,8
This my supervisor is driving me insane!,angry,I'm finding ways to work more effectively with my supervisor.,neutral,work,my supervisor,34,angry_to_neutral,7,10
I'm livid about this committee wasting my time!,angry,I enjoy productive moments working with this committee.,love,work,this committee,239,angry_to_love,8,8
I'm sick of my tenant lying to me constantly!,angry,I treasure honest conversations with my tenant.,love,personal,my tenant,762,angry_to_love,9,7
I'm so sick of this project constantly messing up!,angry,I'm committed to supporting this project in improving.,neutral,work,this project,123,angry_to_neutral,9,8
my relative behavior is absolutely unacceptable!,angry,I hope my relative and I can understand each other better.,neutral,personal,my relative,612,angry_to_neutral,6,11
I'm so angry at my teacher right now!,angry,I care about my relationship with my teacher.,neutral,personal,my teacher,590,angry_to_neutral,8,8
my student makes my blood boil!,angry,I value the good times with my student.,neutral,personal,my student,694,angry_to_neutral,6,8
This my phone keeps crashing and it's infuriating!,angry,I'm grateful when my phone works smoothly.,love,technology,my phone,993,angry_to_love,8,7
The hotel quality is absolutely disgraceful!,angry,I'm pleased when hotel meets high standards.,neutral,service,hotel,489,angry_to_neutral,6,7
This banking company doesn't care about customers!,angry,I value companies like banking that listen to feedback.,neutral,service,banking,414,angry_to_neutral,7,9
I'm angry about the club breaking their promise!,angry,I trust the club to keep their word.,neutral,social,the club,950,angry_to_neutral,8,8
hospital delivery is always delayed and damaged!,angry,"I appreciate timely, careful hospital delivery.",love,service,hospital,562,angry_to_love,7,6
